model_name,summary,capabilities,primary_version,version_name,size,context,input,usage_command,updated_at
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q3_K_S,4.0GB,8K,Text,ollama pull codegemma:7b-instruct-q3_K_S,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q3_K_S,4.0GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q3_K_S,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q3_K_M,4.4GB,8K,Text,ollama pull codegemma:7b-instruct-q3_K_M,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q3_K_M,4.4GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q3_K_M,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q3_K_L,4.7GB,8K,Text,ollama pull codegemma:7b-instruct-q3_K_L,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q3_K_L,4.7GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q3_K_L,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q4_0,5.0GB,8K,Text,ollama pull codegemma:7b-instruct-q4_0,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q4_0,5.0GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q4_0,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q4_1,5.5GB,8K,Text,ollama pull codegemma:7b-instruct-q4_1,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q4_1,5.5GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q4_1,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q4_K_S,5.0GB,8K,Text,ollama pull codegemma:7b-instruct-q4_K_S,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q4_K_S,5.0GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q4_K_S,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q4_K_M,5.3GB,8K,Text,ollama pull codegemma:7b-instruct-q4_K_M,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q4_K_M,5.3GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q4_K_M,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q5_0,6.0GB,8K,Text,ollama pull codegemma:7b-instruct-q5_0,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q5_0,6.0GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q5_0,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q5_1,6.5GB,8K,Text,ollama pull codegemma:7b-instruct-q5_1,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q5_1,6.5GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q5_1,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q5_K_S,6.0GB,8K,Text,ollama pull codegemma:7b-instruct-q5_K_S,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q5_K_S,6.0GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q5_K_S,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q5_K_M,6.1GB,8K,Text,ollama pull codegemma:7b-instruct-q5_K_M,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q5_K_M,6.1GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q5_K_M,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q6_K,7.0GB,8K,Text,ollama pull codegemma:7b-instruct-q6_K,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q6_K,7.0GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q6_K,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-q8_0,9.1GB,8K,Text,ollama pull codegemma:7b-instruct-q8_0,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-q8_0,9.1GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-q8_0,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-fp16,17GB,8K,Text,ollama pull codegemma:7b-instruct-fp16,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-instruct-v1.1-fp16,17GB,8K,Text,ollama pull codegemma:7b-instruct-v1.1-fp16,1 year ago
codegemma,"CodeGemma is a collection of powerful, lightweight models that can perform a variety of coding tasks like fill-in-the-middle code completion, code generation, natural language understanding, mathematical reasoning, and instruction following.",,2b,codegemma:7b-v1.1,5.0GB,8K,Text,ollama pull codegemma:7b-v1.1,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:latest,26GB,32K,Text,ollama pull mixtral:latest,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:instruct,26GB,32K,Text,ollama pull mixtral:instruct,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:text,26GB,32K,Text,ollama pull mixtral:text,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:v0.1,80GB,64K,Text,ollama pull mixtral:v0.1,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b,26GB,32K,Text,ollama pull mixtral:8x7b,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b,80GB,64K,Text,ollama pull mixtral:8x22b,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q2_K,17GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q2_K,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q3_K_S,20GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q3_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q3_K_M,23GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q3_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q3_K_L,24GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q3_K_L,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q4_0,26GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q4_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q4_1,29GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q4_1,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q4_K_S,27GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q4_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q4_K_M,28GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q4_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q5_0,32GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q5_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q5_1,35GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q5_1,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q5_K_S,32GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q5_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q5_K_M,33GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q5_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q6_K,38GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q6_K,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-q8_0,50GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-q8_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-instruct-v0.1-fp16,93GB,32K,Text,ollama pull mixtral:8x7b-instruct-v0.1-fp16,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text,26GB,32K,Text,ollama pull mixtral:8x7b-text,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q2_K,17GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q2_K,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q3_K_S,20GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q3_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q3_K_M,23GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q3_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q3_K_L,24GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q3_K_L,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q4_0,26GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q4_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q4_1,29GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q4_1,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q4_K_S,27GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q4_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q4_K_M,28GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q4_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q5_0,32GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q5_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q5_1,35GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q5_1,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q5_K_S,32GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q5_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q5_K_M,33GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q5_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q6_K,38GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q6_K,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-q8_0,50GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-q8_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x7b-text-v0.1-fp16,93GB,32K,Text,ollama pull mixtral:8x7b-text-v0.1-fp16,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct,80GB,64K,Text,ollama pull mixtral:8x22b-instruct,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q2_K,52GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q2_K,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q3_K_S,62GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q3_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q3_K_M,68GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q3_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q3_K_L,73GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q3_K_L,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q4_0,80GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q4_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q4_1,88GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q4_1,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q4_K_S,80GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q4_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q4_K_M,86GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q4_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q5_0,97GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q5_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q5_1,106GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q5_1,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q5_K_S,97GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q5_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q5_K_M,100GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q5_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q6_K,116GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q6_K,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-q8_0,149GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-q8_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-instruct-v0.1-fp16,281GB,64K,Text,ollama pull mixtral:8x22b-instruct-v0.1-fp16,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text,80GB,64K,Text,ollama pull mixtral:8x22b-text,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q2_K,52GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q2_K,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q3_K_S,61GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q3_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q3_K_M,68GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q3_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q3_K_L,73GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q3_K_L,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q4_0,80GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q4_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q4_1,88GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q4_1,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q4_K_S,80GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q4_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q4_K_M,86GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q4_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q5_0,97GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q5_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q5_1,106GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q5_1,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q5_K_S,97GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q5_K_S,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q5_K_M,100GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q5_K_M,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q6_K,116GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q6_K,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-q8_0,149GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-q8_0,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:8x22b-text-v0.1-fp16,281GB,64K,Text,ollama pull mixtral:8x22b-text-v0.1-fp16,1 year ago
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,tools,8x7b,mixtral:v0.1-instruct,80GB,64K,Text,ollama pull mixtral:v0.1-instruct,1 year ago
dolphin-phi,"2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research.",,2.7b,dolphin-phi:latest,1.6GB,2K,Text,ollama pull dolphin-phi:latest,2 years ago
dolphin-phi,"2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research.",,2.7b,dolphin-phi:2.7b,1.6GB,2K,Text,ollama pull dolphin-phi:2.7b,2 years ago
dolphin-phi,"2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research.",,2.7b,dolphin-phi:2.7b-v2.6,1.6GB,2K,Text,ollama pull dolphin-phi:2.7b-v2.6,2 years ago
dolphin-phi,"2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research.",,2.7b,dolphin-phi:2.7b-v2.6-q2_K,1.2GB,2K,Text,ollama pull dolphin-phi:2.7b-v2.6-q2_K,2 years ago
dolphin-phi,"2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research.",,2.7b,dolphin-phi:2.7b-v2.6-q3_K_S,1.3GB,2K,Text,ollama pull dolphin-phi:2.7b-v2.6-q3_K_S,2 years ago
dolphin-phi,"2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research.",,2.7b,dolphin-phi:2.7b-v2.6-q3_K_M,1.5GB,2K,Text,ollama pull dolphin-phi:2.7b-v2.6-q3_K_M,2 years ago
dolphin-phi,"2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research.",,2.7b,dolphin-phi:2.7b-v2.6-q3_K_L,1.6GB,2K,Text,ollama pull dolphin-phi:2.7b-v2.6-q3_K_L,2 years ago
